"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
1044,"RUA TABAJARA","539.0","AO LADO DO TJ","PANAIR",297145,"1342436","RUA  TABAJARA","469",NULL,"PANAIR","100.0","87.01","100.0","87.4","-8.751444","-63.910695","110020505060010","-8.751905","-63.911454","110020505060029","-8.751905","-63.911454","0","97.90633913","1","45.28783369",False,True
1045,"RUA MATRINCHA","915.0",NULL,"LAGOA",736834,"215074659","RUA  MATRINCHA","850",NULL,"LAGOA","100.0","92.9","100.0","88.58","-8.750924100000002","-63.9092231","110020505060010","-8.770012","-63.868695","110020505070054","-8.770012","-63.868695","0","4933.82220902","1","4388.3510947",False,NULL
1046,"RUA TABAJARA","865.0","PROXIMO AO SESC","OLARIA",709243,"1337289","RUA  TABAJARA","865",NULL,"OLARIA","100.0","100.0","100.0","90.0","-8.750906000000002","-63.907699","110020505060010","-8.751022","-63.907685","110020505060010","-8.751022","-63.907685","0","12.99007138","1","0",True,NULL
1047,"AVENIDA CALAMA","937.0",NULL,"OLARIA",709115,"1337194","AVENIDA  CALAMA","937",NULL,"OLARIA","100.0","100.0","100.0","90.0","-8.7527783","-63.9076933","110020505060010","-8.753119","-63.906547","110020505060010","-8.753119","-63.906547","0","131.55142991","1","0",True,NULL
1048,"AVENIDA CALAMA","937.0","937 B","OLARIA",709115,"1337194","AVENIDA  CALAMA","937",NULL,"OLARIA","100.0","100.0","100.0","90.0","-8.753046","-63.906939","110020505060010","-8.753119","-63.906547","110020505060010","-8.753119","-63.906547","0","43.83886211","1","0",True,NULL
1049,"RUA BENJAMIN CONSTANT","1531.0",NULL,"OLARIA",931353,"1337781","RUA  BENJAMIN CONSTANT","1531",NULL,"OLARIA","100.0","100.0","100.0","90.0","-8.7555528","-63.9001412","110020505060012","-8.756091","-63.899967","110020505060012","-8.756091","-63.899967","0","62.83276788","1","0",True,NULL
1050,"AVENIDA CAMPOS SALES","3174.0",NULL,"OLARIA",445917,"1338182","AVENIDA  CAMPOS SALES","3174",NULL,"OLARIA","100.0","100.0","100.0","90.0","-8.7572172","-63.9027595","110020505060013","-8.75724","-63.902922","110020505060013","-8.75724","-63.902922","0","18.03761292","1","0",True,NULL
1051,"RUA JOAO GOULART C/ BENJAMIM CONSTAT","2263.0",NULL,"SAO CRISTOVAO",932185,"1339828","RUA  JOAO GOULART","2230",NULL,"SAO CRISTOVAO","100.0","98.54","100.0","89.71","-8.7547769","-63.8932095","110020505060014","-8.758664","-63.892775","110020505060019","-8.758664","-63.892775","0","434.85609469","1","425.60308401",False,False
1052,"RUA HERBERT DE AZEVEDO","1649.0",NULL,"SAO CRISTOVAO",299846,"1336586","RUA  HERBERT DE AZEVEDO","997",NULL,"OLARIA","100.0","60.46","31.58","82.09","-8.7555356","-63.8992061","110020505060014","-8.756543","-63.906347","110020505060009","-8.756495000000001","-63.906323","5.95350832","792.7331714","1","751.26974632",False,False
1053,"AV FARQUAR","1913.0",NULL,"ARIGOLANDIA",655288,"109757415","AVENIDA  FARQUAR","1987","SALA 2","ARIGOLANDIA","100.0","96.28","100.0","89.26","-8.7598182","-63.9098175","110020505060028","-8.758648","-63.909882","110020505060028","-8.758671","-63.909882","2.55748683","130.31341381","1","0",True,NULL
1054,"AVENIDA FARQUAR","1969.0",NULL,"ARIGOLANDIA",655288,"109757415","AVENIDA  FARQUAR","1987","SALA 2","ARIGOLANDIA","100.0","99.09","100.0","89.82","-8.7591584","-63.9097013","110020505060028","-8.758648","-63.909882","110020505060028","-8.758671","-63.909882","2.55748683","60.12801272","1","0",True,NULL
1055,"RUA JOSE DE ALENCAR","5033.0",NULL,"PEDRINHAS",70317,"1342884","RUA  JOSE DE ALENCAR","5053","FRENTE","PEDRINHAS","100.0","99.6","100.0","89.92","-8.7431581","-63.9100622","110020505060031","-8.744086","-63.909828","110020505060031","-8.74401","-63.9098365","8.50230205","106.33997615","1","0",True,NULL
1056,"AVENIDA TIRADENTES","3009.0",NULL,"INDUSTRIAL",930134,"1570832","AVENIDA  TIRADENTES","3009",NULL,"INDUSTRIAL","100.0","100.0","100.0","90.0","-8.749180880000004","-63.91100709","110020505060031","-8.743952","-63.886347","110020505070060","-8.743952","-63.886347","0","2771.85794887","1","2520.49995713",False,False
1057,"RUA MARIO QUINTANA","4725.0",NULL,"RIO MADEIRA",704050,"1569502","RUA  MARIO QUINTANA","4725",NULL,"RIO MADEIRA","100.0","100.0","100.0","90.0","-8.748698","-63.9108801","110020505060031","-8.735794","-63.874422","110020505070055","-8.735794","-63.874422","0","4256.02821589","1","3994.13890205",False,False
